"","X.1","X","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"96",1927,1927,"Ethiopia:ETH","Other Asia, nes:",1427144,418800,"ETH","","Coffee",2010
"97",1928,1928,"Ethiopia:ETH","Netherlands:NLD",4607984,1013700,"ETH","NLD","Coffee",2010
"98",1929,1929,"Ethiopia:ETH","New Zealand:NZL",1640577,308400,"ETH","NZL","Coffee",2010
"99",1930,1930,"Ethiopia:ETH","Norway:NOR",3667681,879660,"ETH","NOR","Coffee",2010
"100",1931,1931,"Ethiopia:ETH","Poland:POL",1167497,291600,"ETH","POL","Coffee",2010
"101",1932,1932,"Ethiopia:ETH","Portugal:PRT",153692,54000,"ETH","PRT","Coffee",2010
"102",1933,1933,"Ethiopia:ETH","Romania:ROU",1256911,444000,"ETH","ROU","Coffee",2010
"103",1934,1934,"Ethiopia:ETH","Russian Federation:RUS",5791249,1840800,"ETH","RUS","Coffee",2010
"104",1935,1935,"Ethiopia:ETH","Saudi Arabia:SAU",105747559,31485840,"ETH","SAU","Coffee",2010
"105",1936,1936,"Ethiopia:ETH","Singapore:SGP",793003,291000,"ETH","SGP","Coffee",2010
"106",1937,1937,"Ethiopia:ETH","Slovakia:SVK",61977,12000,"ETH","SVK","Coffee",2010
"107",1938,1938,"Ethiopia:ETH","Slovenia:SVN",146667,38400,"ETH","SVN","Coffee",2010
"108",1939,1939,"Ethiopia:ETH","South Africa:ZAF",2309751,634800,"ETH","ZAF","Coffee",2010
"109",1940,1940,"Ethiopia:ETH","Spain:ESP",5139330,1453200,"ETH","ESP","Coffee",2010
"110",1941,1941,"Ethiopia:ETH","Fmr Sudan:SDN",18905144,9033720,"ETH","SDN","Coffee",2010
"111",1942,1942,"Ethiopia:ETH","Swaziland:SWZ",135976,38400,"ETH","SWZ","Coffee",2010
"112",1943,1943,"Ethiopia:ETH","Sweden:SWE",22882257,6439200,"ETH","SWE","Coffee",2010
"113",1944,1944,"Ethiopia:ETH","Switzerland:CHE",9894417,3010800,"ETH","CHE","Coffee",2010
"114",1945,1945,"Ethiopia:ETH","Syria:SYR",407463,170400,"ETH","SYR","Coffee",2010
"115",1946,1946,"Ethiopia:ETH","United Arab Emirates:ARE",276263,88200,"ETH","ARE","Coffee",2010
"116",1947,1947,"Ethiopia:ETH","Ukraine:UKR",83733,18000,"ETH","UKR","Coffee",2010
"117",1948,1948,"Ethiopia:ETH","Egypt:EGY",465096,168600,"ETH","EGY","Coffee",2010
"118",1949,1949,"Ethiopia:ETH","United Kingdom:GBR",15989555,3605040,"ETH","GBR","Coffee",2010
"119",1950,1950,"Ethiopia:ETH","United Rep. of Tanzania:TZA",3371,600,"ETH","TZA","Coffee",2010
"120",1951,1951,"Ethiopia:ETH","USA:USA",71745952,19372560,"ETH","USA","Coffee",2010
