country,closeness_centrality,indegree_centrality,outdegree_centrality,betweenness_centrality,mean_terms,total_exported,total_imported
Nigeria,0.006211180124223602,0.024844720496894408,0.006211180124223602,0.0002707686335403727,311.6468076016697,2831460740.0,17414.0
Qatar,0.0,0.006211180124223602,0.0,0.0,0.517401898057526,41729736738.0,23837.0
Senegal,0.2284211580845522,0.024844720496894408,0.037267080745341616,0.011436150547175391,,,31504.0
Finland,0.0,0.006211180124223602,0.0,0.0,0.9103290795410053,8891918.0,265944.0
Switzerland,0.0,0.012422360248447204,0.0,0.0,579.5460226872402,18084.0,648387942.0
Sierra Leone,0.0,0.006211180124223602,0.0,0.0,,,53.0
Canada,0.3880030630477325,0.03105590062111801,0.12422360248447203,0.010744741692917158,0.5261766391210363,15173349042.0,3545303492.0
Romania,0.0,0.049689440993788817,0.0,0.0,,,1375282.0
Malaysia,0.0,0.012422360248447204,0.0,0.0,0.5174720457900573,11845179012.0,372971839.0
Norway,0.2556337870260331,0.06211180124223602,0.024844720496894408,0.010525085034013604,0.3295621447617565,26422622489.0,8533772.0
Philippines,0.0,0.006211180124223602,0.0,0.0,,,134833482.0
Austria,0.36689408811508384,0.012422360248447204,0.08074534161490683,0.0009525648394049014,0.4070402014172857,1076644127.0,437086135.0
Rep. of Korea,0.3454173610059082,0.006211180124223602,0.024844720496894408,0.003136230035492458,,,15526925241.0
Thailand,0.0,0.03105590062111801,0.0,0.0,4.069833669305318,6865.0,3902475921.0
Bhutan,0.0,0.006211180124223602,0.0,0.0,,,162573.0
Bahrain,0.34290827605913404,0.037267080745341616,0.018633540372670808,0.011942703711919548,,,85230335.0
Egypt,0.3233358858731104,0.08695652173913043,0.018633540372670808,0.02085242019181828,0.19365263822893258,1965240165.0,151261647.0
Kuwait,0.0,0.006211180124223602,0.0,0.0,,,413524500.0
Free Zones,0.0,0.006211180124223602,0.0,0.0,,,954104.0
India,0.0,0.08074534161490683,0.0,0.0,0.3850343712051615,15843206.0,4269925591.0
Cayman Isds,0.2896137382667124,0.06832298136645962,0.09316770186335403,0.020622799087830553,,,7889.0
New Zealand,0.3412557060540298,0.012422360248447204,0.012422360248447204,0.0,0.38171210877218664,186783.0,22437389.0
Eritrea,0.006211180124223602,0.012422360248447204,0.006211180124223602,0.0019798136645962734,,,19953728.0
Spain,0.2603329375228352,0.018633540372670808,0.018633540372670808,3.916017988222957e-05,0.49858653322977337,78076308.0,9118353744.0
Bunkers,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.0017857142857142859,,,13569.0
Iceland,0.0,0.012422360248447204,0.0,0.0,,,481895163.0
Aruba,0.0,0.018633540372670808,0.0,0.0,,,3731075.0
Ireland,0.0,0.006211180124223602,0.0,0.0,6.173918466120625,1416.0,1291467640.0
Portugal,0.22267471385601,0.012422360248447204,0.012422360248447204,4.5289855072463775e-05,0.4390999795024029,908997.0,950381719.0
Luxembourg,0.26081237203024377,0.024844720496894408,0.037267080745341616,0.0025423255676708598,0.3435656704943162,864.0,173890505.0
Lebanon,0.0,0.006211180124223602,0.0,0.0,0.8333333333333334,100.0,51385550.0
Antigua and Barbuda,0.3019640042908792,0.037267080745341616,0.012422360248447204,0.001557324016563147,,,51849942.0
Israel,0.0,0.006211180124223602,0.0,0.0,,,71427.0
Gabon,0.006211180124223602,0.06211180124223602,0.006211180124223602,0.0019322593167701864,,,609.0
Georgia,0.0,0.006211180124223602,0.0,0.0,,,83156191.0
Czechia,0.0,0.018633540372670808,0.0,0.0,20.108240497494933,672376161.0,886535246.0
Italy,0.022182786157941437,0.012422360248447204,0.018633540372670808,0.0023401915113871637,0.8438504962973682,397903293.0,12580035581.0
Mexico,0.2692416692251376,0.006211180124223602,0.05590062111801242,0.0019927536231884057,0.4510490077026891,180986602.0,1559579239.0
Niue,0.0,0.006211180124223602,0.0,0.0,,,1218557.0
Turkey,0.0,0.006211180124223602,0.0,0.0,0.5727657004830918,9485.0,2360394214.0
Tajikistan,0.0,0.006211180124223602,0.0,0.0,,,92142.0
Serbia,0.0,0.006211180124223602,0.0,0.0,13.034653465346535,2633.0,3412230.0
Saudi Arabia,0.03975155279503106,0.024844720496894408,0.037267080745341616,0.008258130769470257,0.6697749509493042,1442272470.0,2385.0
Oman,0.0,0.012422360248447204,0.0,0.0,5.1230317417464555,2398809340.0,50800451.0
Marshall Isds,0.0,0.006211180124223602,0.0,0.0,,,4596.0
Syria,0.0,0.03105590062111801,0.0,0.0,,,123491324.0
Maldives,0.0,0.006211180124223602,0.0,0.0,,,3724240.0
United Rep. of Tanzania,0.0,0.018633540372670808,0.0,0.0,2.953041504263387,58487605.0,15731749.0
Benin,0.3420799951990878,0.06832298136645962,0.06211180124223602,0.01997024691170041,,,1993.0
Greece,0.4736492241218139,0.09937888198757763,0.18012422360248445,0.14584473547977758,,,338603406.0
Bouvet Island,0.006211180124223602,0.08695652173913043,0.006211180124223602,0.0017090450310559007,,,3589487.0
Gibraltar,0.0,0.006211180124223602,0.0,0.0,,,32623.0
Belgium,0.0,0.049689440993788817,0.0,0.0,0.45099436316532443,6317402200.0,5011319361.0
United Kingdom,0.0,0.006211180124223602,0.0,0.0,154.12320422714066,3391454302.0,11839616361.0
Germany,0.0,0.006211180124223602,0.0,0.0,0.3862886421675568,4527475789.0,9006402484.0
Panama,0.0,0.012422360248447204,0.0,0.0,,,125466.0
Netherlands,0.012422360248447204,0.08074534161490683,0.012422360248447204,0.004037267080745342,,,4306434093.0
"North America and Central America, nes",0.0,0.006211180124223602,0.0,0.0,,,56662204.0
Mozambique,0.006211180124223602,0.012422360248447204,0.006211180124223602,0.0019798136645962734,0.3758121026987564,133830440.0,876306.0
"Other Asia, nes",0.23722130320338755,0.012422360248447204,0.037267080745341616,0.0007884131913635019,2.0223333333333335,10622.0,5319982353.0
Yemen,0.0,0.006211180124223602,0.0,0.0,1.506428927680178,732521336.0,9354.0
Dominican Rep.,0.0,0.006211180124223602,0.0,0.0,0.8523839726442931,61820.0,21493558.0
Australia,0.006211180124223602,0.012422360248447204,0.006211180124223602,6.183451641526175e-05,3664.0739886494575,8670430193.0,165110459.0
Libya,0.2584326971029605,0.012422360248447204,0.012422360248447204,0.005834303830227743,0.4525467958354885,2199001230.0,15992.0
Suriname,0.23140705557585353,0.006211180124223602,0.012422360248447204,8.318544809228039e-05,,,60013808.0
